Animal	Cluster	Type	Electrodes
154	13	mua	6
154	14	mua	6
154	15	mua	6
154	18	mua	6
154	19	mua	6
154	66	mua	"12, 14"
154	72	mua	"13, 15"
154	43	mua	"12, 14"
154	45	good	"13, 15"
154	46	mua	"13, 15"
154	47	good	"13, 15"
154	48	good	"13, 15"
154	74	mua	"13, 15"
154	75	mua	"13, 15"
156	67	good	5
156	56	good	8
156	21	good	"9, 11"
156	27	good	10
156	39	good	"4, 6"
156	79	good	12
156	41	good	"13, 15"
158	4	mua	4
158	88	mua	4
158	101	mua	"5, 7"
158	102	mua	"12, 14"
158	11	good	"5, 7"
158	19	good	8
158	21	mua	"8, 10"
158	24	mua	9
158	29	mua	9
158	60	good	9
158	87	mua	"9, 11"
158	33	good	"9, 11"
158	36	mua	"9, 11"
158	37	mua	"9, 11"
158	38	mua	"9, 11"
158	55	mua	"9, 11"
158	40	mua	"12, 14"
158	42	mua	"12, 14"
158	45	good	"13, 15"
158	39	good	"12, 14"
158	58	good	"5, 7"
160	1	mua	"1, 3"
160	26	mua	"10, 8"
160	32	good	"10, 8"
160	34	good	"10, 8"
160	66	mua	"10, 8"
160	38	mua	"9, 11"
160	39	good	"9, 11"
160	3	mua	"1, 3"
160	61	good	"13, 15"
160	65	mua	"13, 15"
160	30	mua	"8, 10"
160	44	mua	"12, 14"
160	54	good	"13, 15"
163	61	good	"1, 3"
163	6	good	"4, 6"
163	7	good	"4, 6"
163	63	mua	"4, 6"
163	8	mua	"4, 6"
163	17	mua	"4, 6"
163	18	mua	"4, 6"
163	19	mua	"4, 6"
163	25	good	"8, 10"
163	26	mua	"8, 10"
163	57	good	"8, 10"
163	28	good	"8, 10"
163	58	good	"8, 10"
163	59	good	"8, 10"
163	37	good	"9, 11"
163	60	mua	"12, 14"
163	76	good	"12, 14"
163	78	mua	"12, 14"
176	26	good	"4, 6"
176	27	good	7
176	28	mua	7
176	73	mua	"5, 7"
176	30	good	8
176	31	mua	"8, 10"
176	35	good	"9, 11"
176	74	mua	12
176	67	mua	4
176	48	mua	"12, 14"
177	0	good	"1, 3"
177	56	mua	1
177	2	good	1
177	8	mua	"1, 3"
177	10	good	"1, 3"
177	11	mua	"1, 3"
177	13	good	"4, 6"
177	28	mua	"12, 14"
177	57	mua	"4, 6"
177	84	mua	5
177	22	mua	"4, 6"
177	23	good	"4, 6"
177	85	mua	"4, 6"
177	27	good	7
177	29	good	9
177	35	mua	9
177	86	mua	9
177	37	mua	"12, 14"
177	39	mua	"12, 14"
177	44	good	"13, 15"
177	45	good	"13, 15"
177	46	good	"13, 15"
177	50	mua	"13, 15"
177	17	mua	"4, 6"
177	51	good	"12, 14"
177	52	mua	"12, 14"
177	68	good	"12, 14"
177	69	mua	"12, 14"
177	82	mua	"13, 15"
178	12	mua	"13, 15"
178	69	mua	4
178	56	mua	6
178	24	good	7
178	26	mua	7
178	67	mua	8
178	60	mua	"9, 11"
178	41	mua	10
178	44	mua	"9, 11"
178	46	good	"9, 11"
178	47	mua	11
178	53	good	"13, 15"
178	54	mua	15
179	0	good	"1, 3"
179	2	good	"1, 3"
179	4	good	"1, 3"
179	72	mua	"1, 3"
179	9	good	"1, 3"
179	16	good	5
179	83	good	5
179	84	mua	5
179	85	mua	"4, 6"
179	86	mua	7
179	89	good	"13, 15"
179	55	good	15
180	0	mua	1
180	1	good	1
180	5	mua	1
180	61	mua	1
180	10	good	3
180	15	mua	"4, 6"
180	16	mua	"4, 6"
180	17	good	"4, 6"
180	73	good	"4, 6"
180	18	good	"5, 7"
180	78	mua	"4, 6"
180	19	mua	"5, 7"
180	24	mua	"5, 7"
180	25	mua	"5, 7"
180	28	good	"8, 10"
180	29	mua	"8, 10"
180	37	mua	"8, 10"
180	98	good	"8, 10"
180	99	mua	"8, 10"
180	38	good	"8, 10"
180	43	good	"8, 10"
180	100	mua	"8, 10"
180	44	mua	11
180	45	good	11
180	58	good	11
180	104	mua	11
180	103	mua	13
